聂赫留朵夫懂得了自己怎样伤害了玛丝洛娃是在他们第二次重逢后,,选项 A ,,,,,,,
聂赫留朵夫和玛丝洛娃第一次在监狱见面，玛丝洛娃迫不及待地把对聂赫留朵夫的一肚子怨气都发泄了出来,,选项 B ,,,,,,,
《复活》中，男女主人公第二次见面后，让玛丝洛娃感到痛苦的原因是她从一个纯洁善良的姑娘变成了一个要被流放的苦役犯，实在太痛苦了,,选项 B ,,,,,,,
聂赫留朵夫第二次在监狱见到玛丝洛娃，终于说出了上次没有说出的话——告诉玛丝洛娃决定以和她结婚的实际行动来赎罪,,选项 A ,,,,,,,
玛丝洛娃第二次在监狱见到聂赫留朵夫，向他提出了要钱要求,,选项 B ,,,,,,,
玛丝洛娃对于年轻时以及她同聂赫留朵夫最初的关系的回忆因时间关系渐渐淡忘了,,选项 B ,,,,,,,
在巴诺伏庄园时，从车站回来后，玛丝洛娃的心灵上发生了一场大变化，从此她相信人人活着都为了自己，为了自己的欢乐，一切有关上帝和善的话都是骗骗人的,,选项 A ,,,,,,,
玛丝洛娃和聂赫留朵夫第一次重逢后，玛丝洛娃竭力避免回忆年轻时的事和她同聂赫留朵夫最初的关系主要原因是同她现在的世界观格格不入,,选项 A ,,,,,,,
在当了妓女的玛丝洛娃的世界观中，她认为自己是一个卑贱的人物,,选项 B ,,,,,,,
第一次重逢的时候，令聂赫留朵夫万万没有料到的是现在的卡秋莎比以前更迷人了,,选项 B ,,,,,,,
典狱长和看守，他们虽然从来不知道也不研究教义和教堂里各种圣礼的意义，但却相信非有这样的信仰不可，因为这种信仰可以为他们残酷的职务辩解,,选项 A ,,,,,,,
玛丝洛娃经历了心灵发生的大变化后，离开了姑妈家的庄园。她遇到的一切人，凡是男人都把她当作摇钱树,,选项 B ,,,,,,,
从车站回来，玛丝洛娃的心灵上发生了一场大变化，以前她自己相信善，并且以为别人也相信善，此后她断定谁也不相信善,,选项 A ,,,,,,,
从聂赫留朵夫诱奸她的那个夜晚起，玛丝洛娃的心灵上发生了一场大变化，结果就变成了后来的玛丝洛娃这个样子了。,,选项 B ,,,,,,,
卡秋莎在庭审结束押解回监狱后的夜里，久久不能入睡,她想到许许多多人，就是没有想到聂赫留朵夫,,选项 A ,,,,,,
庭审结束的第二天，经过心灵的净化后的聂赫留朵夫决定要到监牢里去一次，把事情都告诉卡秋莎,,选项 A ,,,,,,,
玛丝洛娃所在的牢房长九俄尺，宽七俄尺，除了大人外，还关着三个孩子,,选项 A ,,,,,,,
在法庭庭审时意外见到玛丝洛娃后，聂赫留朵夫的心灵渐渐觉醒,,选项 A ,,,,,,,
“他生活个了一段时间，忽然觉得内心生活迟钝，甚至完全停滞。他就着手把灵魂里堆积着的污垢清除出去。”上述这样一种精神状态即聂赫留朵夫的“心灵的净化”,,选项 A ,,,,,,,
当法庭对毒死人命案做出审判之后，聂赫留朵夫的心灵里有一种卑劣的感情在蠢蠢活动。原以为玛丝洛娃如无罪开释并留在城里，他感到惴惴不安，不知如何对待她才好，如今可以一笔勾销同她保持任何关系的可能,,选项 A ,,,,,,,
陪审员中，商人坚持为玛丝洛娃辩护，是因为坚持以事实为依据,,选项 B ,,,,,,,
玛丝洛娃的一个重要外貌特征是有一双略带斜睨的眼睛,,选项 A ,,,,,,,
谢继妮娜的一个重要外貌特征是有一双羔羊般的眼睛,,选项 A ,,,,,,,
大学毕业后，聂赫留朵夫拐到姑妈家去，这才知道卡秋莎已经不在庄园了,,选项 B ,,,,,,,
在诱奸了卡秋莎之后，临走那天，聂赫留朵夫给了卡秋莎他自认为是相当丰厚的一笔钱——100卢布,,选项 A ,,,,,,,
庭审玛丝洛娃案时，当书记官念完长篇起诉书，大家都轻松地舒了一口气，只有聂赫留朵夫一人没有这样的感觉。他想到十年前他所认识的天真可爱的姑娘玛丝洛娃竟会犯下投毒杀人的罪行，不由得大惊失色,,选项 A ,,,,,,,
在诱奸了卡秋莎之后，聂赫留朵夫没考虑到她当时的心情,,选项 A ,,,,,,,
在诱奸了卡秋莎之后，在姑妈家度过的最后一天里，聂赫留朵夫的内心有两种情感在搏斗，一种感情是觉得自己做了一件很坏的事，必须为了她，而不是为了自己，加以弥补,,选项 B ,,,,,,,
聂赫留朵夫每次回想到卡秋莎，他离开姑妈家的那个夜晚的情景总是盖过了他看见她的其余所有各种情景。,,选项 B ,,,,,,,
聂赫留朵夫也像所有的人那样，身上同时存在这两个人——精神的人和兽性的人,,选项 A ,,,,,,,
在第一次住在姑妈家的那个夏天，聂赫留朵夫意识到自己爱上了卡秋莎,,选项 B ,,,,,,,
聂赫留朵夫第一次见到卡秋莎，是在他念大学三年级那年的夏天,,选项 A ,,,,,,,
卡秋莎十六岁那年爱上了两个老姑娘的侄儿，一个在大学念书的阔绰的公爵少爷,,选项 A ,,,,,,,
《复活》中描写了一批反对资本主义统治的政治犯、革命家。,,选项 B ,,,,,,,
《复活》是俄国伟大的作家托尔斯泰早年的作品,,选项 B ,,,,,,,
西蒙松想向玛丝洛娃求婚的想法使聂赫留朵夫感到他独特的高尚行为无法实现，使他的自我牺牲在他自己和别人眼里都降低了价值。也许这里还有一种普通的妒意,,选项 A ,,,,,,,
西蒙松爱上玛丝洛娃是因为她是个少见的好人，却受尽折磨。,,选项 A ,,,,,,,
《复活》彻底否定了沙皇制度,,选项 A ,,,,,,,
在西伯利亚，聂赫留朵夫向典狱长出示了沙皇办公厅发的公文副本，典狱长遵旨，玛丝洛娃当场获得释放,,选项 B ,,,,,,,
长篇小说《西游记》出现于我国（   ）代。,,选项 B ,,,,,,,
《西游记》的作者是（   ）。,,选项 C ,,,,,,,
小说《西游记》是（   ）。,,选项 D ,,,,,,,
《西游记》中最突出的人物形象是（   ）。,,选项 A ,,,,,,,
孙悟空的出生地在（    ）。,,选项 A ,,,,,,,
孙悟空出生的国度叫（   ）。,,选项 D ,,,,,,,
孙悟空西去取经前主要活动地是（    ）。,,选项 C ,,,,,,,
孙悟空在花果山被群猴推举为猴王是因为（   ）。,,选项 D ,,,,,,,
群猴称孙悟空为（   ）。,,选项 B ,,,,,,,
孙悟空远道寻仙修道时的交通工具是用（   ）编的筏子。,,选项 B ,,,,,,,
孙悟空拜师学艺的地方是（   ）。,,选项 B ,,,,,,,
被孙悟空第一次叫“老神仙”的人其实是一个（    ）。,,选项 C ,,,,,,,
孙悟空的师傅叫（   ）。,,选项 C ,,,,,,,
孙悟空师傅须菩提的住处叫（   ）。,,选项 D ,,,,,,,
孙悟空开始给祖师行拜礼却被赶出是因为（   ）。,,选项 A ,,,,,,,
祖师之所以给孙悟空定姓孙是因为（   ）。,,选项 A ,,,,,,,
祖师给孙悟空起名为悟空是从（    ）。,,选项 A ,,,,,,,
须菩提祖师收美猴王为徒后立即（   ）。,,选项 B ,,,,,,,
祖师真正教悟空法术是悟空至此后（  ）年。,,选项 C ,,,,,,,
孙悟空明白到师傅处学道已经七年，是因为（   ）。,,选项 C ,,,,,,,
孙悟空跟师傅学道，一心想学（   ）。,,选项 D ,,,,,,,
祖师看到几个法术都不愿学，在悟空头上打了三下，众人惊惧。祖师意思是（   ）。,,选项 A ,,,,,,,
祖师打了悟空后，倒背着手走入里面，意思是（   ）。,,选项 D ,,,,,,,
孙悟空从师傅那里学了法术之后回去，其他道徒此时在（    ）。,,选项 A ,,,,,,,
祖师传悟空七十二变化是根据（   ）数。,,选项 B ,,,,,,,
悟空起先练习霞举飞升，仅仅往返（   ），被师傅说成爬云。,,选项 B ,,,,,,,
悟空学的“筋斗云”是一个筋斗就有（   ）。,,选项 D ,,,,,,,
悟空在师兄面前卖弄本事，变化出的是（    ）。,,选项 C ,,,,,,,
师傅叫悟空走，悟空问哪里去，师傅说：“（      ）”。,,选项 C ,,,,,,,
悟空学道回来，立即看到听到的是（   ）。,,选项 A ,,,,,,,
孙悟空回到花果山第一次打败的妖魔是（   ）。,,选项 A ,,,,,,,
孙悟空要改变众猴武器，首先去（   ）取了大量各类武器。,,选项 B ,,,,,,,
孙悟空将许多武器运回花果山用了（   ）法。,,选项 A ,,,,,,,
花果山去东海龙宫要经过（    ）。,,选项 D ,,,,,,,
孙悟空在水中行走（   ）。,,选项 C ,,,,,,,
孙悟空进入龙宫通报时自称（     ）。,,选项 B ,,,,,,,
东海龙王名叫（   ）。,,选项 A ,,,,,,,
孙悟空在龙宫取神铁是（    ）。,,选项 C ,,,,,,,
孙悟空拿了金箍棒，又要披挂，这披挂是（   ）。,,选项 D ,,,,,,,
悟空拿到的定海神针上有这样几个字“（    ）”。,,选项 D ,,,,,,,
美猴王游走阴间地府是在（    ）时候。,,选项 B ,,,,,,,
悟空被两个鬼索至地府，大发其怒，大发其威，惊动了（    ）。,,选项 C ,,,,,,,
孙悟空来到森罗殿，查看专管生物寿命生死的本子（   ）。,,选项 A ,,,,,,,
地府内生死簿上规定孙悟空的寿命是（   ）。,,选项 D ,,,,,,,
孙悟空大闹地府，乱涂生死簿后，（   ）就上表玉帝告状。,,选项 B ,,,,,,,
玉帝听到孙悟空闹地府、拿神针，就要捉拿他，是（   ）劝阻的。,,选项 C ,,,,,,,
太白金星领悟空首次来到天上，在（   ）接受玉帝接见。,,选项 A ,,,,,,,
悟空上天做弼马温是（   ）。,,选项 D ,,,,,,,
孙悟空做弼马温开始态度（   ）。,,选项 A ,,,,,,,
孙悟空做弼马温开始时候（    ）。,,选项 A ,,,,,,,
悟空说上天才半月余，众猴却说已经十几年，这是因为（   ）。,,选项 B ,,,,,,,
孙悟空后来叫“齐天大圣”，这名称是（   ）。,,选项 D ,,,,,,,
孙悟空公开叫“齐天大圣”，这是在（   ）。,,选项 C ,,,,,,,
玉帝要捉拿妖猴，是谁自告奋勇前去？（    ）,,选项 C ,,,,,,,
天兵首先与孙悟空交战的是（   ）。,,选项 B ,,,,,,,
与孙悟空拜为兄弟的牛魔王在悟空称“齐天大圣”后，也起个大号叫“（  ）”。,,选项 B ,,,,,,,
天兵天将与孙悟空大战失败后，就（   ）。,,选项 D ,,,,,,,
太白金星建议给孙悟空（   ）来解决问题。,,选项 A ,,,,,,,
孙悟空第一次在天上做的弼马温官品属于（   ）。,,选项 D ,,,,,,,
大闹天宫时，孙悟空属于（     ）。,,选项 B ,,,,,,,
作为“齐天大圣”，孙悟空整天在天上（   ）。,,选项 C ,,,,,,,
让孙悟空管理蟠桃园，这是因为（   ）担心他无事生非而提议后玉帝下诏的。,,选项 D ,,,,,,,
孙悟空得到任命立即去蟠桃园查勘，园中土地公公（   ）。,,选项 A ,,,,,,,
土地向孙悟空介绍蟠桃园里前后有（    ）株蟠桃树。,,选项 B ,,,,,,,
蟠桃园前面一千二百棵蟠桃（    ）年一熟。,,选项 C ,,,,,,,
蟠桃园中间一千二百棵蟠桃（    ）年一熟。,,选项 B ,,,,,,,
蟠桃园后面一千二百棵蟠桃（    ）年一熟。,,选项 D ,,,,,,,
悟空看到蟠桃大半成熟了，就（      ）吃了一饱。,,选项 A ,,,,,,,
王母娘娘在（    ）开“蟠桃胜会”。,,选项 C ,,,,,,,
为开蟠桃会，进入蟠桃园摘桃的七衣仙女是（    ）。,,选项 B ,,,,,,,
七位仙女进园摘桃时没有看到悟空，是因为（    ）。,,选项 D ,,,,,,,
悟空听到王母娘娘要举行蟠桃会，首先关心的是（   ）。,,选项 D ,,,,,,,
孙悟空听到按照旧规自己不在出席蟠桃会的尊席中，就立刻（   ）。,,选项 C ,,,,,,,
去打听有没有邀请自己的确切消息时，悟空（   ）。,,选项 A ,,,,,,,
孙悟空去瑶池路上，第一个遇到的仙人是（    ）。,,选项 B ,,,,,,,
悟空来到瑶池，想享用美酒珍肴，就（   ）把当场的准备人员解决了。,,选项 B ,,,,,,,
悟空在瑶池喝酒醉了，跌跌撞撞到了（   ）。,,选项 D ,,,,,,,
来到兜率宫，悟空如吃炒豆似的吃了大量的仙丹，这是（   ）。,,选项 C ,,,,,,,
在兜率宫吃了许多仙丹后，孙悟空（   ）。,,选项 A ,,,,,,,
孙悟空吃了大量仙丹，知道闯了大祸，逃回花果山用的是（   ）。,,选项 A ,,,,,,,
为了众猴也能够品尝仙酒，悟空又折回瑶池取了四个瓶罐，在洞里举行“（   ）”。,,选项 B ,,,,,,,
玉帝听到王母等状告孙悟空，就立即（   ）。,,选项 C ,,,,,,,
十万天兵捉拿悟空，以（   ）为主帅。,,选项 D ,,,,,,,
九曜星官来洞口叫战，孙悟空（   ）就与开战。,,选项 A ,,,,,,,
十万下凡捉拿孙悟空，最先出阵的是（   ）。,,选项 B ,,,,,,,
观音大徒弟木叉与孙悟空交战五六十回合，结果（   ）。,,选项 C ,,,,,,,
玉帝正无奈悟空，观音举荐（   ）去擒拿孙悟空。,,选项 B ,,,,,,,
二郎神是玉帝的（   ）。,,选项 A ,,,,,,,
领命前去调动二郎神的是（   ）。,,选项 A ,,,,,,,
二郎神的妈妈是玉帝的（   ）。,,选项 D ,,,,,,,
遇到二郎神，孙悟空开始（   ）。,,选项 C ,,,,,,,
三百余回合不分胜负，二郎神与孙悟空就斗（   ）。,,选项 B ,,,,,,,
二郎神与孙悟空斗法，最后悟空落了下风，原因是（   ）。,,选项 B ,,,,,,,
孙悟空变成麻雀，二郎神就变成（    ）来扑打。,,选项 D ,,,,,,,
见二郎神变成老鹰，悟空就变成（   ）冲天飞去。,,选项 A ,,,,,,,
孙悟空变成一座土地庙，只是（   ）不好变化，变成了旗杆，被二郎神识破。,,选项 D ,,,,,,,
二郎神找不到孙悟空，只好用李天王的（     ）寻找悟空踪影。,,选项 C ,,,,,,,
孙悟空最后被擒，关键时刻被（    ）砸中了脑袋。,,选项 C ,,,,,,,
孙悟空被擒时是躺倒在地上，因为被（    ）。,,选项 B ,,,,,,,
孙悟空被擒后，玉帝下旨押至斩妖台（   ）。,,选项 D ,,,,,,,
孙悟空被押解到斩妖台，玉帝用尽各种刑罚难以伤身，最后一招是（   ）。,,选项 A ,,,,,,,
在兜率宫老君用了（   ）火想把悟空烧成灰烬。,,选项 C ,,,,,,,
孙悟空的火眼金睛炼成主要是因为（   ）。,,选项 B ,,,,,,,
悟空在八卦炉中被炼了（   ）天。,,选项 D ,,,,,,,
大闹天宫是在孙悟空（   ）之后。,,选项 C ,,,,,,,
在天宫，所有天神无奈孙悟空，玉帝派游奕灵官去请（    ）来帮忙。,,选项 A ,,,,,,,
如来应玉帝之请前往制伏悟空，叫（   ）相随，其他佛徒依然坐禅。,,选项 D ,,,,,,,
如来批评悟空不该取代玉帝，因为玉帝曾修持（    ）。,,选项 B ,,,,,,,
孙悟空认为可以取代玉帝的理由是（    ）。,,选项 C ,,,,,,,
佛祖与悟空打了（    ）赌，决定是否取代玉帝？,,选项 D ,,,,,,,
悟空为了做记号表示已到天边，在如来手指上（     ）。,,选项 A ,,,,,,,
最后如来用（     ）山把悟空压在底下，才制伏了他。,,选项 B ,,,,,,,
如来离开天庭，回西方世界前，专门召了土地和五方揭谛来对悟空（   ）。,,选项 C ,,,,,,,
根据佛祖临走时的交代，孙悟空在山底下，饿了可以吃（    ）。,,选项 D ,,,,,,,
佛祖有三藏真经，想要传至东土，却只能找一个取经人，这是因为东土人（   ）。,,选项 A ,,,,,,,
佛祖要求选择取经人观音踏看路道，行走时要（    ）。,,选项 B ,,,,,,,
如来给观音一件袈裟，让他给取经人穿着，因为此袈裟有（   ）的功能。,,选项 C ,,,,,,,
佛祖给观音三个紧箍儿，目的是（     ）。,,选项 C ,,,,,,,
观音去东土经过灵山脚下，先在（    ）遇见金顶大仙。,,选项 D ,,,,,,,
沙和尚住流沙河之前是（   ）。,,选项 A ,,,,,,,
沙和尚被处罚是因为在蟠桃会上（   ）。,,选项 B ,,,,,,,
在流沙河第一次遇到观音，沙和尚是想要（   ）。,,选项 D ,,,,,,,
沙和尚的法号叫（   ）。,,选项 C ,,,,,,,
沙和尚挂在脖子上的“项链”，其中的珠子其实是（     ）。,,选项 B ,,,,,,,
猪八戒在天上时是(    )官职。,,选项 A ,,,,,,,
猪八戒之所以成为丑陋的猪子，是因为（    ）。,,选项 D ,,,,,,,
猪八戒所在的住处是（    ）山。,,选项 C ,,,,,,,
观音首次遇到玉龙是在（  ）。,,选项 D ,,,,,,,
后来变为白马的玉龙原来是（     ）之子。,,选项 B ,,,,,,,
观音和大徒弟来到长安，以（    ）模样现身城中。,,选项 A ,,,,,,,
观音在长安寻找取经真僧，暂时居住在（      ）。,,选项 C ,,,,,,,
唐僧父亲陈光蕊考中状元后，获跨马（     ）三日的荣耀。,,选项 D ,,,,,,,
游街过程中，经过丞相殷开山门首，丞相女儿温娇（    )给陈光蕊，喜结良缘。,,选项 B ,,,,,,,
唐太宗询问陈光蕊状元应授何官时，魏征提议可任（    ）州主。,,选项 A ,,,,,,,
陈光蕊是得了官职后，就（     ）赴任。,,选项 A ,,,,,,,
陈光蕊带了母亲、妻子前往江州途中，母亲身体不适，光蕊买了鲤鱼（     ）。,,选项 B ,,,,,,,
陈光蕊赴任途中遇到稍水刘洪起了坏心，杀了光蕊，这是因为（    ）。,,选项 D ,,,,,,,
陈光蕊的尸体抬到龙宫，龙王发现竟然是自己的（    ）。,,选项 C ,,,,,,,
龙王为了陈光蕊将来可以复仇，在他口内放了一颗（    ）珠。,,选项 D ,,,,,,,
唐僧生母殷温娇在丈夫被刘洪等杀害后，之所以没有自杀殉夫，是因为（    ）。,,选项 A ,,,,,,,
刘洪本想淹杀殷温娇的婴儿，幸亏第二天一大早刘洪（    ）。,,选项 B ,,,,,,,
殷温娇把自己孩子抱至河边，把孩子（      ），任其漂浮。,,选项 C ,,,,,,,
小婴儿漂至（     ），被法明和尚救起。,,选项 B ,,,,,,,
江流长到18岁就削发修行，摩顶受戒，取法名为（     ）。,,选项 D ,,,,,,,
玄奘带了血书和汗衫去江州寻访母亲，师傅叫他以（     ）方式去衙门与母相见。,,选项 A ,,,,,,,
玄奘母亲与儿子见面之后，立即（    ）。,,选项 B ,,,,,,,
殷温娇去金山寺会儿子，是以（     ）的理由去的。,,选项 C ,,,,,,,
玄奘与母亲相认的最后一个验证是（     ）。,,选项 D ,,,,,,,
玄奘离开母亲，先去洪州万花店寻找自己的（     ）。,,选项 B ,,,,,,,
玄奘来到洪州万花店，他奶奶（      ）。,,选项 A ,,,,,,,
玄奘奶奶的眼睛瞎了，这是因为（    ）的。,,选项 C ,,,,,,,
殷温娇在丈夫被杀的江口祭奠后，正要投水而死，忽见（     ）浮来。,,选项 D ,,,,,,,
玄奘父母、奶奶全家团圆后，他妈妈殷温娇最后（     ）。,,选项 B ,,,,,,,
报了杀父之仇，全家团圆之后，玄奘就（    ）。,,选项 C ,,,,,,,
在长安城西门大街上卖卜算命的人是袁天罡的（    ）。,,选项 A ,,,,,,,
龙王把自己变成一个（     ）来试探袁守诚。,,选项 B ,,,,,,,
龙王在袁守诚那里询问下雨的事情，这是因为（     ）。,,选项 D ,,,,,,,
看到玉帝命令龙王下雨的时间、地点和数目与卖卜人说的一样，龙王（    ）。,,选项 C ,,,,,,,
龙王接到玉帝下雨旨意，还想赌局赢卖卜人，他只好（      ）。,,选项 B ,,,,,,,
龙王少下了雨点，改了下雨时辰后，就去卖卜人那里（     ）。,,选项 A ,,,,,,,
被龙王砸了招牌，袁守诚的态度（     ）。,,选项 D ,,,,,,,
龙王离开卖卜人处时候，“不觉红日西沉，太阴星上。”太阴星是指（     ）。,,选项 A ,,,,,,,
犯了天条的龙王求袁守诚救命，袁守诚叫他去求（    ），只有他才能保住龙王性命。,,选项 C ,,,,,,,
到了午时，唐太宗为了让魏征无法去监斩龙王，与魏征（      ）。,,选项 B ,,,,,,,
根据《西游记》等书所载，因护卫唐太宗有效，后来画秦叔宝、胡敬德图画作为（  ）。,,选项 A ,,,,,,,
唐太宗魂魄与崔珏交谈间，来到阴阳交界处，城门挂着大牌，写着“   ”。,,选项 D ,,,,,,,
书中叙述在地府李建成、李元吉看到李世民魂魄，前来索命，其历史根据是“    ”。,,选项 C ,,,,,,,
根据阴司生死簿数据，唐太宗注定贞观13年，后来被崔珏（    ）改为33年。,,选项 B ,,,,,,,
在阴司，唐太宗回转来，却没有走旧路，而是没走过的路，这是因为（    ）的规矩,,选项 A ,,,,,,,
书中描述十八层地狱的位置在（      ）。,,选项 C ,,,,,,,
依佛教常识，地狱一共有（    ）层。,,选项 D ,,,,,,,
为了做“水陆大会”，唐太宗在全国甄选有德行的高僧，结果被选中的是（    ）。,,选项 B ,,,,,,,
小说中叙述玄奘被唐太宗赐予管理全国僧人的总僧官（    ）。,,选项 A ,,,,,,,
玄奘在领取唐太宗颁赐后，就到（     )带领1200名僧人做四十九天的“水陆大会”。,,选项 D ,,,,,,,
观音菩萨决定选择玄奘做西行取经者后，就捧着佛祖给的宝贝在长安街上（     ）。,,选项 C ,,,,,,,
一些愚僧看到观音变化的疥癞和尚在高价卖袈裟等，嘲笑观音是（   ）。,,选项 B ,,,,,,,
宰相萧瑀在大街上遇到观音和木叉，谈论袈裟与锡杖后就（     ）。,,选项 D ,,,,,,,
唐太宗看到观音，听到袈裟与锡杖价格特高，立刻（    ）。,,选项 C ,,,,,,,
从观音那里得知袈裟与锡杖的妙处，唐太宗就（     ）。,,选项 D ,,,,,,,
听到玄奘很有德行，观音很高兴，把袈裟与锡杖（     ）。,,选项 B ,,,,,,,
玄奘第一次穿上观音给的袈裟是在（     ）。,,选项 A ,,,,,,,
观音和木叉把袈裟与锡杖给了玄奘之后，他们就（     ）。,,选项 C ,,,,,,,
观音在水陆大会上，至多宝台边看到玄奘果然是（      ）。,,选项 A ,,,,,,,
水陆大会上，玄奘宣讲佛经，下面有人拍着宝台厉声高叫“会谈大乘么”，玄奘（  ）。,,选项 D ,,,,,,,
听到报告有人干扰玄奘讲经，唐太宗就把他们（     ）。,,选项 B ,,,,,,,
手下把干扰玄奘说法的两个人推进法堂，唐太宗一看就（     ）。,,选项 C ,,,,,,,
唐太宗得知那个人记得大乘佛法三藏，立刻请他上台开讲，那两人就（    ）。,,选项 A ,,,,,,,
观音在玄奘宣讲佛经时批评玄奘讲的只是小乘，目的是（    ）。,,选项 D ,,,,,,,
得知观音现身，唐太宗与文武官员高兴得忘却了朝礼，都念“    ”。,,选项 B ,,,,,,,
看到观音法相，唐太宗即传旨，选出被称为画圣的（    ）描下菩萨真像。,,选项 C ,,,,,,,
小说叙述唐太宗听说西方有更好的大乘佛经，立即征求取法人，（   ）恳求效劳。,,选项 D ,,,,,,,
听到玄奘乐意西行取法，唐太宗特别高兴，称玄奘为“     ”。,,选项 A ,,,,,,,
玄奘离开长安时，太宗送了（      )宝物用来化斋。,,选项 B ,,,,,,,
当唐太宗得知玄奘还没有雅号，给他取了“三藏”为号，原因是（     ）。,,选项 C ,,,,,,,
太宗让玄奘饮酒，玄奘接了酒又推辞，因为（     ）。,,选项 B ,,,,,,,
玄奘正要饮酒，太宗弹了一撮尘土在酒中，意思是（     ）。,,选项 D ,,,,,,,
玄奘离开长安西行，第一个到的寺院是（     ）。,,选项 A ,,,,,,,
西行取法，玄奘出发时是（      ）。,,选项 B ,,,,,,,
唐僧西行，出长安城遇到的第一难是（    ）。,,选项 C ,,,,,,,
走出大唐边界，玄奘师徒就遇到灾难，结果（      ）。,,选项 D ,,,,,,,
唐僧师徒陷入坑坎之中，妖怪正要吃掉他们，熊山君与特处士来到，（   ）救了唐僧。,,选项 A ,,,,,,,
在双钗岭上一个老者把唐僧从坑坎中救出，让他上了大路，那老者其实是（   ）。,,选项 B ,,,,,,,
在双钗岭，唐僧前有猛虎，后有长蛇，左有毒虫，右有怪兽，救他的刘伯钦是（   ）。,,选项 D ,,,,,,,
在刘伯钦家，唐僧多住了一夜，目的是（     ）。,,选项 C ,,,,,,,
伯钦送唐僧上大路，一直走到（    ），伯钦说不能再过去了那边不是大唐地界了。,,选项 B ,,,,,,,
压着孙悟空的山原来叫（    ），后来改名为两界山。,,选项 A ,,,,,,,
小说中叙述去山顶揭封贴的是（     ）。,,选项 D ,,,,,,,
孙悟空从山底出来，那匹马见了他很害怕，原因是（    ）。,,选项 C ,,,,,,,
玄奘收了神猴为徒，就给他起了个名叫（    ）。,,选项 B ,,,,,,,
唐僧与悟空师徒过了两界山，悟空打死老虎，用毫毛变成（    ），剥了虎皮。,,选项 A ,,,,,,,
在老陈家，唐僧认了华宗，悟空也洗了个澡，他已经（     ）年没洗澡了。,,选项 D ,,,,,,,
孙悟空因唐僧的责难，来到龙王那里喝茶，因张良“（     ）”故事回到唐僧那里。,,选项 C ,,,,,,,
悟空要了嵌金花帽戴上，唐僧念着紧箍咒很见效，悟空知道了原委，就（     ）。,,选项 D ,,,,,,,
小白龙吃掉唐僧坐骑是在蛇盘山的（       ）。,,选项 A ,,,,,,,
小白龙斗不过孙悟空躲在水底，最后（      ）去请了观音来收服。,,选项 B ,,,,,,,
小白龙所犯之罪是其父告他（    ）。,,选项 B ,,,,,,,
为了防止意外发生，观音摘了（      ），变成三根救命毫毛，放在悟空脑后。,,选项 C ,,,,,,,
过了鹰愁涧，唐僧师徒来到一处投宿，只见门上有“（       ）”三个大字。,,选项 D ,,,,,,,
在观音禅院，悟空一个劲儿撞钟，道人问他为什么这样，悟空答道：“（     ）”。,,选项 A ,,,,,,,
观音禅院老院主想要留住袈裟，广智、广谋替他设法，用火烧的办法是（   ）想的。,,选项 B ,,,,,,,
悟空半夜发现禅院僧人欲火烧害死他们，用（      ）保护唐僧免受火灾。,,选项 C ,,,,,,,
观音禅院起火，惊动了黑风山上的妖精，他立刻起身前往，想去（    ）。,,选项 C ,,,,,,,
悟空待火熄灭后，立刻把辟火罩送还天王，悟空还对天王说：“（    ）”。,,选项 D ,,,,,,,
观音禅院火灾后，唐僧师徒走出来，那些和尚看到吓得魂飞魄散，以为是（      ）。,,选项 B ,,,,,,,
观音禅院老院主在火后死了，他是因为（      ）死的。,,选项 A ,,,,,,,
在黑风山，孙悟空第一次进入黑风洞是(     )进去的。,,选项 D ,,,,,,,
与黑风怪交好的道人，原来是只（    ),被悟空打死。,,选项 B ,,,,,,
打死道人后，观音依了悟空，将计就计，悟空变成一颗仙丹，观音变成（    )。,,选项 C ,,,,,,,
偷袈裟的黑风怪，最后结局是（    ）。,,选项 A ,,,,,,,
离开观音禅院，唐僧师徒来到乌斯藏国界，望见一村人家，那是（      ）。,,选项 B ,,,,,,,
来到高老庄前，悟空碰到一人想要问信，可那人不说，悟空就说了句俗语“（    ）”。,,选项 C ,,,,,,,
高老太爷三个女儿已经嫁了两个，最小的想要（     )，所以没有很早出嫁。,,选项 D ,,,,,,,
孙悟空答应高太爷擒拿妖怪，就叫老人带女儿去，自己（     ）等妖怪来。,,选项 A ,,,,,,,
猪八戒官名叫猪刚鬣，住在福陵山（     ），因相貌似猪故姓猪。,,选项 B ,,,,,,,
猪刚鬣听到假“翠兰”说起，家里准备请曾大闹天宫的齐天大圣来拿他，就（    ）。,,选项 C ,,,,,,,
猪刚鬣手里习惯使用的武器是（      ）。,,选项 D ,,,,,,,
猪刚鬣原来是天上水神，官列（       ）。,,选项 A ,,,,,,,
天蓬元帅在王母蟠桃会时，私自闯入(      )，纠缠嫦娥，因此获罪。,,选项 B ,,,,,,,
天蓬元帅之罪，按天律该斩，是（    ）说情，改刑锤击二千。,,选项 C ,,,,,,,
孙悟空收服猪刚鬣是在（     ）之后。,,选项 C ,,,,,,,
猪刚鬣与悟空讲清来由后，原来住的云栈洞被(     )烧得精光。,,选项 D ,,,,,,,
唐三藏收猪刚鬣为徒，为表郑重，专门（       ）。,,选项 A ,,,,,,,
猪刚鬣的法名叫（     ），是观音菩萨给他起的。,,选项 B ,,,,,,,
猪悟能的别号猪八戒是（     ）给他起的。,,选项 C ,,,,,,,
离开高老庄前夜，高老专门宴请唐僧师徒，把素酒开樽，（       ）。,,选项 D ,,,,,,,
